# schema=1
authoring_method	direct-llm-reviewed
ogden-scale	2adbefefec4d36b0	这是一种刻度。
ogden-credit	607ec7ac4e10581d	这是一项信用记录。
ogden-male	398646fe20d49845	这是一名男性。
ogden-band	5872634c695969a7	这是一条带子。
ogden-sky	c6cbbd0ef9209ea5	这就是天空。
ogden-plane	97634cb8d143c448	这是一个平面。
ogden-touch	a21e21abac7ab5cf	这是一种触感。
ogden-farm	fac0b4cf2b2d4db2	这是一个农场。
ogden-sleep	6baf0b22ef291a19	我了解睡眠。
ogden-copy	955ae2c4514468a5	这是一份副本。
ogden-balance	c0152664253cb662	这是一种平衡状态。
ogden-branch	aa9ee3c4ea26eb26	这是一根树枝。
ogden-doubt	7f913af81aef1240	这是一个疑问。
ogden-train	97d6c1596665f1f0	这是一列火车。
ogden-brain	efe3b4f409f470ca	这是一个大脑。
ogden-insurance	57820c45ebd35ed0	我了解保险。
ogden-transport	ec26f427d396bc43	我了解运输。
ogden-stick	2083dad20c4db10e	这是一根棍子。
ogden-hole	b0a44ea78403edb8	这是一个孔。
ogden-ship	08e022700c599020	这是一艘船。
ogden-ice	98eaf40f63a6254a	这是冰。
ogden-boat	a27e669fcdb54134	这是一艘小船。
ogden-drink	5204c55e57ea2088	这是一杯饮料。
ogden-distance	77eb6107f2c0662d	我了解距离。
ogden-wood	a139dd579e3144b3	我有一些木材。
ogden-mountain	a48f0632e14fbbe3	这是一座山。
ogden-winter	47c0695bcc7c0feb	我在冬天去。
ogden-roll	94b04c72d4e5663b	这是一个卷。
ogden-mark	069670fe0445c929	这是一个标记。
ogden-gold	87039979c4334ac7	这是黄金。
ogden-separate	4faf77bdea960f01	它们是分开的。
ogden-danger	c00f590bb3effbc5	我了解危险。
ogden-reaction	2054bc92fcf4d383	这是一种反应。
ogden-flower	55b4f2d0c86170df	这是一朵花。
ogden-regular	cf31483a7cc1720e	这是有规律的。
ogden-prison	d52b95891a86cc9b	这是一座监狱。
ogden-chief	1f0ed6bd3a636ecd	这是一位首领。
ogden-belief	c019a16477d81c29	这是一种信念。
ogden-flight	2c7a00112f3469ec	这是一次飞行。
ogden-quick	4d0ee4dac6526283	它很快。
ogden-wine	ab60d4468ac0cab3	我有一些葡萄酒。
ogden-ring	81a17861201794b0	这是一枚戒指。
ogden-bright	1c00bdd2375605ee	它很明亮。
ogden-debt	8bfe968460a9ea45	这是一笔债务。
ogden-living	ec5581904813d73f	我了解生活。
ogden-ear	2ec53ac3260f230c	这是一只耳朵。
ogden-complex	09ea6d642e0bf9c2	这是一个建筑群。
ogden-lift	93155b74532b4d0d	这是一次举起动作。
ogden-jump	d9a1e68781dd827a	这是一次跳跃。
ogden-limit	522f84f5d33b183b	这是一个界限。
ogden-cry	15e55a9c934a86f8	我会哭。
ogden-warm	4097c2cc06a9a669	天气很暖和。
ogden-engine	85dd605ac3a2b7b2	这是一台引擎。
ogden-soft	151424c059ff0e7a	它很柔软。
ogden-egg	1cb76ac31ba07317	这是一个鸡蛋。
ogden-religion	553445ff16e1c6cb	这是一种宗教。
ogden-cheap	d9c9bfb5dab99837	它很便宜。
ogden-female	f99c1b01f4f049b0	他是女性。
ogden-strange	71ed2bef3bd4d7be	这很奇怪。
ogden-wave	a04404a5d68ee8a9	这是一个波浪。
ogden-blow	f4e238a6d5cf1c12	这是一次打击。
ogden-cook	ae707bc45f387a82	这是一位厨师。
ogden-connection	85abce1bc15817ce	这是一种联系。
ogden-burn	561cfed2f19d0f03	它会燃烧。
ogden-shoe	d30eae6fed57ef4b	这是一只鞋。
ogden-bridge	fc0508cecd47276d	这是一座桥。
ogden-quiet	5f1614dad0bb96ea	这里很安静。
ogden-dress	93c3b1f9998e950b	这是一件连衣裙。
ogden-bone	bbd4419fdbdfa72c	这是一根骨头。
ogden-flat	2347d1cc0c706f8b	它很平坦。
ogden-lip	e7b90fff174d20e5	这是一片嘴唇。
ogden-existence	4f6c64356bd9227c	我了解存在。
ogden-learning	8b473ec762eaca86	我了解学习。
ogden-distribution	c20144b75bb8d888	这是一种分配方式。
ogden-healthy	bdd4860953d91831	它很健康。
ogden-representative	ad1b6732d7ba21c1	这是一位代表。
ogden-respect	5bfd87a162f3dd56	我了解尊重。
ogden-writing	e59912952a9ec880	我了解写作。
ogden-knee	69ec4c9cc5af1be7	这是一个膝盖。
ogden-rain	f1ae2e959e54de06	这里在下雨。
ogden-plate	ee0266b90254381a	这是一个盘子。
ogden-birth	8329c53e93fb078b	我了解出生。
ogden-circle	3cfed9aa1deea802	这是一个圆。
ogden-selection	9f8c547a9a8a7aac	这是一项选择。
ogden-clean	3670f633e653b0ed	它很干净。
ogden-neck	4df34f016a2e8f9b	这是脖子。
ogden-tall	2c697f70fca6f9d3	它很高。
ogden-hate	7459542af98a09f4	我了解憎恨。
ogden-shut	881e8f96fe1547ec	它关着。
ogden-map	11b05a0a0007538c	这是一张地图。
ogden-equal	6107f51643c0ec18	这是一个旗鼓相当的人。
ogden-desire	3388043a54821c00	这是一种欲望。
ogden-paint	6c14f6538c1b9332	这是一罐油漆。
ogden-leaf	22a8a6d9887df856	这是一片叶子。
ogden-dry	6897fcc30e0487dd	它很干燥。
ogden-sweet	ea907f7cec2795ca	这是一颗糖果。
ogden-salt	dec5aaed8f0babc8	我了解盐。
ogden-metal	05358d319b10938d	我了解金属。
ogden-fat	94d84fcfb7e4dbe3	它很胖。
ogden-ticket	6d30f983e047b4ca	这是一张票。
ogden-reading	81f8742ad912f220	我了解阅读。
ogden-bottle	7fa3e488dfcd7eb6	这是一个瓶子。
ogden-teaching	0a618eaee112797d	我了解教学。
ogden-sugar	992fdd10fd2e805a	我了解糖。
ogden-error	2a570302a352858e	这是一个错误。
ogden-acid	7f3bbfd2f5ad8c57	这是一种酸。
ogden-straight	a151214c162fb580	它是直的。
ogden-married	48876a164768f624	我已经结婚了。
ogden-weather	57df2be3aa3e486c	我了解天气。
ogden-instrument	f9a30902ceb8584f	这是一件工具。
ogden-pleasure	f63ffad680445109	我了解快乐。
ogden-pocket	61cb4222299d54d0	这是一个口袋。
ogden-thin	6bc4f6acf87f46df	它很薄。
ogden-surprise	efd5d8c407e6679b	这是一个惊喜。
ogden-waste	7b5d30e0539b7f21	这是废料。
ogden-breath	9d2ef958accc6490	我深吸了一口气。
ogden-guide	3ca313e52c1eab1e	这是一位向导。
ogden-slow	c3df87ba752b0e39	它很慢。
ogden-fruit	b715cbfc7ff85ec8	这是一种水果。
ogden-journey	d91ced3eee25a372	这是一次旅程。
ogden-yellow	8c68440d85e45aaa	它是黄色的。
ogden-noise	af6f361c6303b4ad	这里有噪音。
ogden-angry	81fa355857d3e62b	我很生气。
ogden-hearing	9f2ac9c439205906	这是一场听证会。
ogden-cat	a7bb6df819ed0ef2	这是一只猫。
ogden-muscle	6c32c7753050118f	这是一块肌肉。
ogden-chest	b39588578790462d	这是胸部。
ogden-thick	7483abea28796191	它很厚。
ogden-narrow	1ffa21ac96ecf483	它很窄。
ogden-root	7ba8cf72c6fdc14e	这是一条根。
ogden-nose	74603eae457d3f33	这是一个鼻子。
ogden-tooth	0629ebf33604ca9c	这是一颗牙齿。
ogden-wing	704b2c639a9ac57b	这是一只翅膀。
ogden-coal	c2490d298139ddfd	我了解煤炭。
ogden-motion	959911152e67796a	我了解运动。
ogden-brown	21cf26bd14a14e2e	它是棕色的。
ogden-shirt	5bd86064f150c08e	这是一件衬衫。
ogden-suggestion	096bab43e6fdd12a	这是一个建议。
ogden-snow	c99084e6544cd814	我看见雪了。
ogden-slip	d1059a4d287c0094	这是一次滑倒。
ogden-meat	6ae2f4cbf76a1db1	我了解肉类。
