# schema=1
authoring_method	direct-assistant-reviewed
word_id	display	meaning	phrase	primary_example	secondary_example
a2-instructor		n. 教员；教练	an instructor	She is an instructor.	The instructor is here.
a2-running		n. 跑步	like running	I like running.	Running is good for health.
a2-exact		adj. 准确的；精确的	the exact number	I need the exact number.	This is the exact place.
a2-everyday		adj. 日常的；平常的	an everyday problem	This is an everyday problem.	These are everyday clothes.
a2-laughter		n. 笑声	hear laughter	I heard laughter.	Laughter filled the room.
a2-painter		n. 画家	a painter	She is a painter.	The painter is working.
a2-soccer		n. 足球	play soccer	I play soccer.	Soccer is popular here.
a2-invent		v. 发明	invent new things	People can invent new things.	She wants to invent a device.
a2-physics		n. 物理学	study physics	I study physics.	Physics can explain movement.
a2-businessman		n. 商人	a businessman	He is a businessman.	The businessman is here.
a2-chemistry		n. 化学	study chemistry	I study chemistry.	Chemistry is difficult for me.
a2-mathematics		n. 数学	study mathematics	I study mathematics.	Mathematics is important in science.
a2-intelligent		adj. 聪明的；有才智的	be intelligent	She is intelligent.	This animal is intelligent.
a2-correctly		adv. 正确地	answer correctly	I can answer correctly.	Please write the name correctly.
a2-sadly		adv. 悲伤地；遗憾的是	sadly cannot	Sadly, I cannot go.	Sadly, the plan failed.
a2-wow		interj. 哇	wow	Wow!	Wow, that is amazing.
a2-ankle		n. 脚踝	my ankle	My ankle hurts.	My ankle is better.
a2-happily		adv. 高兴地；幸福地	live happily	They live happily together.	She lives happily here.
a2-trainer		n. 教练	a trainer	He is my trainer.	The trainer is here.
a2-thief		n. 小偷	a thief	He is a thief.	The police caught the thief.
a2-firstly		adv. 第一；首先	firstly	Firstly, read the question.	Firstly, check the date.
a2-scary		adj. 吓人的	a scary film	This film is scary.	The story is scary.
a2-washing		n. 洗衣物；洗好的衣物	do the washing	I do the washing.	The washing is ready.
a2-runner		n. 跑步者	a runner	He is a runner.	The runner is fast.
a2-biology		n. 生物学	study biology	I study biology.	Biology is about living things.
a2-boil		v. 煮沸；烧开	boil the water	Boil the water.	The water can boil.
a2-zero		n. 零	the answer is zero	The answer is zero.	Zero is a number.
a2-blank		adj. 空白的	a blank page	This page is blank.	Write in the blank space.
a2-tourism		n. 旅游业	the tourism industry	Tourism is important here.	Tourism brings many visitors.
a2-mobile		n. 手机	my mobile	This is my mobile.	My mobile is in the bag.
a2-listener		n. 听众	a listener	She is a listener.	The listener asks a question.
a2-crowded		adj. 拥挤的	be crowded	It is crowded here.	The bus is crowded.
a2-headache		n. 头痛	have a headache	I have a headache.	This headache is getting worse.
a2-jewellery		n. 珠宝；首饰	wear jewellery	She wears jewellery.	The jewellery is expensive.
a2-tablet		n. 平板电脑	a tablet	This is a tablet.	The tablet is in the bag.
a2-pronounce		v. 发音；读出	pronounce this word	I can pronounce this word.	Please pronounce it clearly.
a2-smoking		n. 吸烟	smoking is bad	Smoking is bad for health.	The rules do not allow smoking.
a2-skiing		n. 滑雪	like skiing	I like skiing.	Skiing is popular here.
a2-ending		n. 结尾；结局	a happy ending	The film has a happy ending.	I like the ending.
a2-noisy		adj. 嘈杂的	be noisy	It is noisy here.	The street is noisy.
a2-underground		n. 地铁	take the underground	I take the underground.	The underground is crowded today.
a2-loudly		adv. 大声地	speak loudly	He speaks loudly.	Do not talk loudly here.
a2-jam		n. 果酱	some jam	This is jam.	I like jam on bread.
a2-rude		adj. 粗鲁的；无礼的	be rude	Do not be rude.	He was rude to the guest.
a2-flu		n. 流感	have the flu	I have the flu.	The flu can make you weak.
a2-sailing		n. 帆船运动；航行	like sailing	I like sailing.	Sailing can be dangerous.
a2-maths		n. 数学	study maths	I study maths.	Maths is difficult for me.
a2-recycle		v. 回收利用	recycle it	I can recycle it.	We recycle paper and plastic.
a2-laptop		n. 笔记本电脑	a laptop	This is a laptop.	My laptop is in the bag.
a2-dentist		n. 牙医	a dentist	She is a dentist.	The dentist is here.
a2-tidy		adj. 整洁的	a tidy room	The room is tidy.	Keep your desk tidy.
a2-singing		n. 歌唱	like singing	I like singing.	Her singing is beautiful.
a2-cooker		n. 炉灶；炊具	a cooker	This cooker is new.	The cooker is in the kitchen.
a2-curly		adj. 卷曲的	curly hair	Her hair is curly.	He has curly hair.
a2-connected		adj. 连接的；有关联的	be connected	The two devices are connected.	This road is connected to the city.
a2-included		adj. 包括在内的	be included	Breakfast is included.	The cost is included in the price.
