# schema=1
authoring_method	direct-llm-reviewed
a1-tourist	8107c1b49bca8b83	他是一名游客。
a1-festival	b936c0bce767b8a5	这是一个节日。
a1-tomato	2eb73580a07f4f90	这是一个番茄。
a1-bathroom	fd006092bf0d8b04	这是一间浴室。
a1-fifth	ec5985c40fe5eba1	这是第五个。
a1-routine	129ca70d35215d49	我有一套日常安排。
a1-birthday	c4f782bbeee9d3c1	这是一个生日。
a1-teenager	0c0fae88406e25af	这是一名青少年。
a1-pink	0fef4a5c1ae679de	它是粉红色的。
a1-policeman	39e58bdb308ca49f	他是一名警察。
a1-grandmother	6f419c54c13f4ad1	这是一位祖母。
a1-paragraph	c39165ab7cce9d84	这是一个段落。
a1-concert	4cb408d3841a4304	这是一场音乐会。
a1-guitar	58a859e6f3d11900	这是一把吉他。
a1-favourite	2ee8d1e27097dd63	这是我最喜欢的东西。
a1-relax	5e48ea9d6bc54eb2	我可以放松。
a1-exciting	3fd0210b4e41716d	这很令人兴奋。
a1-onion	dc3450a6b7451843	这是一个洋葱。
a1-aunt	07019f680cdcb0c0	这是一位阿姨。
a1-vacation	c0727a0fe023e8c7	这是一个假期。
a1-chocolate	76f71d0718daade8	这是一块巧克力。
a1-eighteen	eeb2f082a791f92d	我有十八本书。
a1-shopping	08405ede064b5251	我喜欢购物。
a1-cousin	d5bf6080438a2285	这是一位表亲。
a1-chart	6d0c757ab4c00926	这是一张图表。
a1-practise	d55c61fc74714d2b	我可以练习。
a1-salad	9d277e32584e1d91	这是一份沙拉。
a1-dialogue	6d23bead54caa1e4	这是一段对话。
a1-singer	2cb319395f117ad2	这是一位歌手。
a1-mouse	0cbf565fdaa1c98b	这是一只老鼠。
a1-tennis	986b9141bbeda864	这是网球运动。
a1-fourteen	08463b2ffa93d886	我有十四本书。
a1-sixteen	fe22639c30dfcfc6	我有十六本书。
a1-grandfather	ed16a3ee509d0fd2	这是一位祖父。
a1-upstairs	d2d214858f200299	我在楼上。
a1-menu	6daa751be891e3cf	这是一份菜单。
a1-hungry	ccc73d0745d03025	它很饿。
a1-shower	0a71e49d02229d40	这是一场阵雨。
a1-actress	2abd9ec2c88840c5	这是一位女演员。
a1-cooking	99f59e239d26669b	这是烹饪。
a1-piano	35b8987d82212e35	这是一架钢琴。
a1-thirteen	9c43298da9935b27	我有十三本书。
a1-taxi	8d6ad6f4936aa842	这是一辆出租车。
a1-cinema	b0fef89e00f25ae3	这是一家电影院。
