# schema=1
authoring_method	direct-llm-correction
a1-age	92597dd3e1ef8524	年龄只是一个数字。
a1-cent	ee1bc1872847de91	一美分并不多。
a1-dollar	8e0e137bd2c9e7d3	一美元就够了。
a1-email	c3619c0515a5d450	这是一封电子邮件。
a1-kilometre	452d832125e502ec	它有一公里长。
a1-metre	e3691d65aee5e3f7	它有一米长。
a1-mile	ff7603ee0fb256a9	它有一英里长。
a1-programme	b05b19ff7c417363	我喜欢这个节目。
a1-style	cb54b1f382c2ab86	我喜欢这种风格。
a1-would	f51ffde7fbb08f21	我会去。
a1-just	5ba10e9a6846fbc0	这是公平的。
a1-find	c38afad9539c02ec	我能找到它。
a1-yeah	609ef63c17cafa91	是的！
a1-life	6bddd06ab61be8d7	生活可以很美好。
a1-too	97654e80e564b98e	我也去。
a1-oh	30266a19bf9521f9	哦！
a1-mean	9c335034f3303273	他很刻薄。
a1-call	277078b5a95af781	我接到一个电话。
a1-world	caccd6cf79716488	世界很大。
a1-leave	fb08632445bdce26	我在休假。
a1-try	f537931db27c3a2f	我可以再试一次。
a1-really	791dbb5595d49887	它们确实一样。
a1-however	ce9c58df300b17cf	我想去，但我不能去。
a1-show	d56987d1ec30cd4b	我可以把这个给他看。
a1-area	3b283c0226e38560	我熟悉这个地区。
a1-student	e3fadd3b0f703ca3	她是一名学生。
a1-begin	8d7e65b6b11e41a4	我们现在可以开始了。
a1-party	3498b96dcda6df26	我去参加聚会。
a1-member	81bd581cc51896a5	他是一名成员。
a1-local	de9cac4eb9ba3683	这是本地新闻。
a1-live	f246eca302c178ce	我住在这里。
a1-believe	d8e34a6d79775489	我相信这件事。
a1-home	edb8dcbb29f9bebc	这是我的家。
a1-information	54bdbdc4260b5e2b	这条信息很重要。
a1-away	17db87d5205fac96	我走开。
a1-lot	62544e567125ce8a	我有很多工作要做。
a1-study	f09a8a8de273eab7	学习需要时间。
a1-job	3b77b3b100938eea	这是我的工作。
a1-include	b44305ebc3797887	我可以把它包括在内。
a1-result	0e4d56042e770dd9	这就是结果。
a1-game	636482449d78ea85	我喜欢这个游戏。
a1-stand	a150d554f0313866	我可以站在这里。
a1-report	f59031d632cd624d	这份报告很重要。
a1-lose	b2689be6c4b95ce7	我可能会弄丢它。
a1-city	570b11a7cf39ec34	这座城市很大。
a1-once	4333187e95c3be67	我试一次。
a1-team	dc13ba3d4d59b4d3	队伍在这里。
a1-best	2406ae7607b56d6e	这是最好的一本书。
a1-parent	089dc8de447ddd57	他是一位家长。
a1-probably	7737d85b5164fc6b	它们很可能一样。
a1-action	c11c736ee78a472b	我们需要采取行动。
a1-health	85c6fe51b8739563	健康很重要。
a1-course	2e11e4447c5cc13f	这门课程很好。
a1-grow	123e0923f8dfe07b	孩子会长大。
a1-subject	f53c2ed4c661d8c5	我喜欢这门科目。
a1-moment	dd6c1e1d5161989b	请稍等片刻。
a1-teacher	a1f0c9e75f4beb34	她是一名教师。
a1-maybe	b9aa43a5bf2f525e	也许它们是一样的。
a1-class	21de7e5ca5cfa099	这是我们班。
