# schema=1
authoring_method	direct-llm-reviewed
b1-ad	d95a077ee52ff53b	这是一则广告。
b1-goods	7e347bcb275654a6	这些是货物。
b1-grade	5d15a493ccc2644f	这是一个等级。
b1-latest	0285e7eb2aed112b	这是最新的那个。
b1-old-fashioned	6cb2ed957eb12279	这是老式的。
b1-path	d473b5cd167a02c7	这是一条小路。
b1-tyre	62214cb2eb59b29c	这是一个轮胎。
b1-within	9b254d5d8ca8e486	它在这个房间内。
b1-set	5a0fea7c2f63d926	这是一套东西。
b1-issue	0ee934f27f38125d	这是一个问题。
b1-policy	99e9a0503ecf53d0	这是一项政策。
b1-court	e9228d78f71a3afb	这是一座法院。
b1-whether	ec1b6a96f3d8f6fd	我知道你是否会去。
b1-require	151f5197a3397971	我可以要求这样做。
b1-remain	595d889c9aad88fe	我可以留在这里。
b1-economic	54b3a7b76dbd9895	这是经济方面的。
b1-upon	b1163f4fed50b318	书放在桌子上。
b1-therefore	70e6fe24d36e4c51	你在这里，所以我走了。
b1-staff	7b78217aa632e0d0	工作人员都在这里。
b1-particularly	2d82a42c272a6150	这尤其重要。
b1-management	a05e7d376a4d355d	我了解管理。
b1-effort	defba99177859325	我作出了努力。
b1-union	7f84ed0f4f416267	这是一个联盟。
b1-central	db017ff7a605328d	这是中央的。
b1-official	af1cf3a6d549b627	这是一位官员。
b1-claim	1e5a37170d31af51	我提出一项主张。
b1-indeed	317c8c0e0ca6e0a2	它们确实相同。
b1-simply	db31ed0dd85aa591	它们就是相同的。
b1-chapter	3e19033dd71309cd	这是一个章节。
b1-financial	09dd9992a9b064fd	这是财务工作。
b1-application	ac382491fba1a14a	这是一个应用程序。
b1-production	7d9b7062965b1025	我了解生产。
b1-security	2df8bbf93ce1b46e	我了解安全。
b1-occur	850f2b70150fad38	变化可能会发生。
b1-election	0080db9501795c71	这是一场选举。
b1-campaign	d422f042d7e2c4c8	这是一场活动。
b1-various	9d8c0a5c82131bf6	我看见各种各样的书。
b1-economy	34cba462e34e7fd8	我了解经济。
b1-represent	c72c5c80db562fa0	我可以代表他们。
b1-risk	84ddd560907b8e5b	这是一个风险。
b1-standard	7745dd04dc7eeb45	这是一个标准。
b1-prove	d71c24d3ef30de3a	我能证明它。
b1-charge	b1b35281804e8dba	这是一项指控。
b1-performance	507cfc0ecef8f834	这是一场表演。
b1-royal	8e3547ff08686a27	这是王室的。
b1-despite	d8646db9170d49c8	尽管如此，我还是会去。
b1-pressure	d6b2b3be5dcc0c11	我了解压力。
b1-basis	bf15a977cf0026c4	这是一个基础。
b1-analysis	f01a84886688cdfa	这是一项分析。
b1-decade	ce13428ca3221c56	这是十年时间。
b1-shoot	ca4d973ad880e5e8	我可以拍摄它。
b1-treatment	6731f36841a24662	这是一项治疗。
b1-relate	921453f17dd2e1ae	我能理解这件事。
b1-whatever	66913c23d542299b	你喜欢什么，我就喜欢什么。
b1-difficulty	38e1db85d225eea1	这是一个难题。
b1-legal	da1ba8cdf61c2ee5	这是合法的。
b1-resource	e560719613a88de2	这是一种资源。
b1-determine	f4d597f92fedb996	我能确定它。
b1-function	88841d1fd8c24286	这是一项功能。
b1-indicate	33af64d0f62625a1	我可以指出它。
b1-wonder	acc893af19739d6b	这是一个奇迹。
b1-announce	257f4a1c35c26775	我可以宣布它。
b1-lay	a17a75abf2fe16e7	我能把它放下。
b1-nor	1bc7e833173531a9	我不去，你也不去。
b1-environmental	954b16d54b519716	这是环境方面的。
b1-suffer	f4f54611bb39b7ed	我可能会受苦。
b1-previous	76c068a8cd9d5215	这是前一个。
b1-responsibility	dee74ba2b3e5212c	这是一项责任。
b1-total	012b0f2e814a32f4	这是全部的。
b1-element	2d99d876ffc409ec	这是一个元素。
b1-duty	5aaa330c7d8d1672	这是一项职责。
b1-tend	a24223366db4118e	我往往会去。
b1-truth	9c61cc9d75cbf317	我了解真相。
b1-treat	51ec613b9477058e	这是一项特别招待。
b1-throughout	011b8923e055cde8	我整天都在这里。
b1-generally	82db1e988dfbf44b	我通常出去。
b1-hang	6539207773fb0346	这是一次悬挂。
b1-encourage	c938f18048991a7d	我可以鼓励他。
b1-religious	6c7800ec6e23c917	他是一位宗教人士。
b1-reflect	1ba29109c856eadf	它能反射光线。
b1-admit	93d9e81578c04def	我承认这件事。
b1-unless	13c90c39642403bf	除非你去，否则我不去。
b1-client	15a4843c8002c3a7	这是一位客户。
b1-obviously	123894f0cccebad5	它们显然相同。
b1-basic	76ec790cb78e5ab0	这是基础的。
b1-intend	22231931d717bb6a	我打算这样做。
b1-impact	f0f778ed10955a12	这是一次冲击。
b1-attitude	7a802b228ec05ef2	这是一种态度。
b1-aware	279332555f01b326	我知道这件事。
b1-weapon	db2cbf7e779ff492	这是一件武器。
