# schema=1
authoring_method	direct-assistant-reviewed
word_id	display	meaning	phrase	primary_example	secondary_example
b1-ours		pron. 我们的	be ours	This house is ours.	The final decision is ours.
b1-decorate		v. 装饰	decorate the room	We can decorate the room.	Pictures decorate the walls.
b1-translation		n. 翻译；译文	the translation	This is a good translation.	Her translation is clear and natural.
b1-photography		n. 摄影	study photography	She studies photography at college.	Photography has become his main interest.
b1-similarity		n. 相似之处	a clear similarity	There is a clear similarity between the two designs.	Their similarity surprised me.
b1-scan		v. 扫描；浏览	scan the document	Please scan the document and send it to me.	We can scan this.
b1-talented		adj. 有才华的	a talented musician	She is a talented musician.	The team has many talented young players.
b1-definite		adj. 明确的；确定的	a definite answer	We need a definite answer today.	We need a definite answer.
b1-determined		adj. 坚定的；下定决心的	be determined to win	She is determined to win.	He remained determined despite the difficulty.
b1-donate		v. 捐赠	donate money	They donate money to the hospital every year.	You can donate old clothes.
b1-bubble		n. 气泡；泡沫	a soap bubble	I can see a bubble in the water.	I can see the bubble.
b1-drum		n. 鼓	play the drum	He can play the drum.	The sound of the drum was very loud.
b1-stadium		n. 体育场	a football stadium	Thousands of people filled the stadium.	The match takes place at the new stadium.
b1-costume		n. 服装；戏服	wear a costume	She wore a costume.	I can see the costume.
b1-calm		adj. 平静的；镇定的	stay calm	Please stay calm.	The sea was calm in the morning.
b1-documentary		n. 纪录片	watch a documentary	This is a documentary about nature.	The documentary won an award.
b1-indirect		adj. 间接的	an indirect answer	He gave an indirect answer.	The policy had an indirect effect on prices.
b1-earthquake		n. 地震	a strong earthquake	A strong earthquake hit the city.	The earthquake was felt across the region.
b1-incredibly		adv. 难以置信地；非常	incredibly difficult	The task was incredibly difficult.	She can run incredibly fast.
b1-ambitious		adj. 有雄心的；宏大的	an ambitious plan	The company announced an ambitious plan.	She is ambitious and works hard.
b1-qualified		adj. 有资格的；合格的	a qualified doctor	Only a qualified doctor can do this work.	She is qualified.
b1-expedition		n. 探险；考察	a scientific expedition	They joined a scientific expedition.	The expedition starts tomorrow.
b1-cheat		v. 欺骗；作弊	cheat in an exam	Do not cheat in the exam.	He tried to cheat his customers.
b1-shy		adj. 害羞的	a shy child	He was a shy child.	She is too shy to speak in public.
b1-worldwide		adj. 全世界的	worldwide attention	The event attracted worldwide attention.	The company sells its products worldwide.
b1-relaxed		adj. 放松的	feel relaxed	I felt relaxed after the holiday.	The meeting had a relaxed atmosphere.
b1-entertain		v. 招待；娱乐	entertain guests	We can entertain our guests.	The show will entertain children and adults.
b1-breathing		n. 呼吸	slow breathing	Slow breathing can help you relax.	His breathing is slow.
b1-hurricane		n. 飓风	a powerful hurricane	A powerful hurricane reached the coast.	The hurricane destroyed many homes.
b1-robot		n. 机器人	a service robot	The hotel has a service robot.	This robot can carry heavy boxes.
b1-embarrassed		adj. 尴尬的	feel embarrassed	I felt embarrassed by my mistake.	She is embarrassed.
b1-fur		n. 毛皮；软毛	thick fur	The animal has thick fur.	People should not buy real fur.
b1-unpleasant		adj. 令人不快的	an unpleasant smell	There was an unpleasant smell in the room.	The experience was unpleasant.
b1-printing		n. 印刷	modern printing	Modern printing is fast and cheap.	The book is ready for printing.
b1-bride		n. 新娘	the bride	The bride wore a white dress.	The bride is here.
b1-organized		adj. 有条理的；组织好的	an organized person	She is a very organized person.	The event was well organized.
