# schema=1
authoring_method	direct-llm-reviewed
a2-ah	baeadfe820c37fcc	我说“啊”。
a2-independent	29fce307cdb13d42	这是一个独立的人。
a2-survey	eb9ad72bdd075b54	这是一项调查。
a2-context	a4075b2531916e0b	这是一个上下文。
a2-gas	481845bbfbfcb5c4	这是气体。
a2-possibility	2cc2ebbfbd646b27	这是一种可能性。
a2-coach	e9010b1ffb7f4738	这是一位教练。
a2-notice	1ea2d9d06ff52a9a	这是一则通知。
a2-beat	374062703c5a90e2	这是一次心跳。
a2-fit	dd2edbce9adb895f	这很合适。
a2-document	1caf3f81286d9f11	这是一份文件。
a2-solution	f3af7eb0e90e3697	这是一个解决办法。
a2-bear	3754c2703c6bdd0c	这是一只熊。
a2-score	efaeee4304451280	这是一个分数。
a2-audience	cca310bd889bc2c2	这是一些听众。
a2-none	9334096dd1f44186	我一个也没有。
a2-option	63bf361dec47ce2b	这是一个选项。
a2-arrangement	08812bd8877042a0	这是一种安排。
a2-target	176429dc571d18d9	这是一个目标。
a2-alone	1dbf190d0171baf1	我独自一人。
a2-railway	01f8573fe20f4517	这是一条铁路。
a2-attend	db2696cb3af9d508	我可以参加。
a2-speech	d3e05c95abc3363c	这是一场演讲。
a2-corner	ee32488729021fc5	这是一个角落。
a2-fresh	f7f48cbd5096dee6	它很新鲜。
a2-forest	ea26ce5a3074bd99	这是一片森林。
a2-equipment	ba25b303b428237c	我了解这些设备。
a2-review	f79f5a8a456b7282	这是一篇评论。
a2-hill	d5e614b9435fc53b	这是一座小山。
a2-expression	c113d23d0f73fbca	这是一种表达。
a2-hurt	d7c346dc0816ac01	这是一处伤害。
a2-sale	99f7d3236d1e9ad3	这是一次销售活动。
a2-track	65944d594a6a7f2f	这是一条轨道。
a2-fair	9c84f1cef6198a64	这是一场展览会。
a2-completely	ca7befcfccdaec3b	它们完全相同。
a2-researcher	fded82b28d9f0ca4	这是一位研究人员。
a2-accident	e11727e00a29534b	这是一起事故。
a2-camp	29210b939ccfddd5	这是一处营地。
a2-normally	3c7e90cd0b7978a8	我按正常方式去做。
a2-shape	d8bc241dfe318d75	这是一个形状。
a2-cash	fbbcbb05eca6d795	我有现金。
a2-fan	983b33ce73e65b6d	这是一台风扇。
a2-marry	62ed55ca6fdf1b52	她可以嫁给他。
a2-collect	50270caba6edb5d5	我可以把它收集起来。
a2-slowly	51d1b9dcd584045a	我慢慢地做这件事。
a2-queen	7e6a3d87f719e5a8	这是一位王后。
a2-employ	69a6d651c66c0bd1	我可以使用它。
a2-truck	0ea375be8e086313	这是一辆卡车。
a2-tradition	782490f27e0664ba	这是一种传统。
a2-speed	1a69e2ef470d5893	这是一个速度。
a2-route	ec92f54f55c64505	这是一条路线。
a2-screen	37436e615a6e055a	这是一块屏幕。
a2-hide	85adf36a492c0797	我可以把它藏起来。
a2-understanding	c88a4cb01756ea96	我了解理解能力。
a2-progress	671e9b4f085e75e1	我了解进展。
a2-crowd	e6b90c5804929539	这是一群人。
a2-link	d7dca17479fa998e	这是一个链接。
a2-comment	7133fdae561f258d	这是一条评论。
a2-reply	c65ec598bb4828ca	这是一则回复。
a2-reporter	67a0a11b9282a60d	这是一名记者。
a2-tool	745a706b140ae630	这是一件工具。
a2-wild	6725e289fbb12b66	它很狂野。
a2-vehicle	85cb3b1f716e13e6	这是一辆交通工具。
a2-average	790b3f0b37241e3d	这是一个平均值。
a2-earn	787d8b785fb2f82e	我可以赚钱。
a2-guest	bb24048486ea4096	这是一位客人。
a2-active	167def31ea84fd24	它很活跃。
a2-feed	cd97d5ac4df1df7a	这是一份饲料。
a2-employer	ff29dcf13911e95b	这是一位雇主。
a2-arrange	9e390c3b8ac74f58	我可以安排好。
a2-mostly	b89838eaee0c9873	它们大体相同。
a2-carefully	83681a4af69519cd	我小心地完成它。
a2-count	fc644ec0fbf5fdfd	我会数数。
a2-injury	8b551a69f55e9b69	这是一处伤。
a2-colleague	95611b450e61ff03	这是一位同事。
a2-impossible	c0bcc2b88b58770d	这是不可能的。
a2-cross	06f0ce581621c0d6	这是一个十字形。
a2-somewhere	ecf31cc9d1768161	我去某个地方。
a2-manner	ee4f389b10c0b839	这是一种方式。
a2-background	677b84cf3dd92aea	这是一个背景。
a2-baseball	fa71a9dac969615a	这是一个棒球。
a2-introduction	86e81b976070d7c0	这是一段介绍。
a2-anybody	00a3c996b99b2cab	你看见任何人了吗？
a2-gift	8d53eb91bdb71c44	这是一份礼物。
a2-ordinary	cbc37ca63e201280	这很普通。
a2-extremely	e59bde29157018e1	这极其重要。
a2-suit	a46ab77bdcadda79	这是一套西装。
a2-excellent	48083328b537e544	这非常出色。
a2-destroy	83d7a0b6a1a4687e	我可以摧毁它。
a2-tour	33f4566b80dc6c20	这是一次游览。
a2-sheet	1ee4e0ff59c0473b	这是一张床单。
a2-appearance	3cd86248137546d2	这是一次露面。
a2-promise	3179fc77c2ea59df	我可以向他作出承诺。
a2-code	fa976ec489d76f2d	这是一段代码。
a2-medicine	06a1361986a19969	这是药。
a2-usual	c9ff01fddf0d9210	这是通常用的那个。
a2-belong	6d2d914ca58840fe	它可以属于我。
a2-formal	464be86fee7bf937	这是正式的。
a2-daily	0f7a90635bc30e23	这是日常工作。
a2-explanation	7440660d40d03129	这是一个解释。
a2-lovely	b21ebc2ae680b213	它很可爱。
a2-search	c551d793981b5302	这是一次搜索。
a2-tie	46c1ae40dc9ceb3c	这是一条领带。
a2-invite	db245fbe545df67d	我可以邀请他。
a2-factory	fb808f563ef8c104	这是一家工厂。
