# schema=1
authoring_method	direct-llm-correction
ogden-scale	9cf2fab0374bc818	这个刻度很容易看清。
ogden-female	3f0b89817ae216f5	她是女性。
ogden-trousers	48a175d882756c7b	这是一条裤子。
ogden-scissors	e6e86d65852787e1	这是一把剪刀。
a1-nobody	89a56d28544d7aff	这是个小人物。
a2-pants	89a4f9bb335936c2	这是一条裤子。
a2-billion	8fe471b22aa6b6b4	这是十亿。
b1-concentrate	d7b1ea2ad9283c76	这是一种浓缩物。
b2-load	0df702a50f2b5ed2	这是一个负载。
b2-draft	c15c7f1d071173eb	这是一股气流。
ogden-get	0434f2cf35641233	我能拿到它。
ogden-take	1da341ac55624f00	我能拿走它。
ogden-pull	314dc0dc6fca58e0	我能拉动它。
a1-find	c38afad9539c02ec	我能找到它。
a1-feel	7bd7fc8cf0784f87	我能感觉到它。
a1-follow	fde1b5df1daeceea	我能跟着它。
a1-bring	6b25db0298ab9fcf	我能把它带来。
a1-hear	9e47004a5203e39b	我能听见它。
a1-write	d87ced56d7deedd4	我能把它写下来。
a1-include	b44305ebc3797887	我能把它包括进去。
a1-lose	8d8ea6994766567e	我可能会弄丢它。
a1-learn	c4083391621936b5	我能学会它。
a1-understand	b72ea00b63d698e5	我能理解它。
a1-add	7c35d6b25aa41c30	我能把它加进去。
a1-create	af5807589c58336b	我能创造它。
a1-remember	fcd60e7437db03d4	我能记住它。
a1-buy	7df0acd658ec5987	我能买下它。
a1-win	2c1e81ba899e3435	我能赢得它。
a1-describe	9b1b7c3b76a4b81e	我能描述它。
a1-sell	f2996e8f1320fcc7	我能卖掉它。
a1-choose	c47c2762f15b610e	我能选择它。
a1-discuss	93aefa363bba8b8d	我能讨论它。
a1-enjoy	beb3b9e794f90480	我能享受它。
a1-fill	0dc77e7ec67471aa	我能把它装满。
a1-introduce	30a3444be4dac9a6	我能介绍它。
a1-compare	68d9ec3bf641d2f0	我能比较它。
a1-prepare	385f7a9e27acf560	我能把它准备好。
a1-forget	46af220cf0224b7e	我可能会忘记它。
a1-imagine	4a76fb5809c85c1b	我能想象它。
a2-provide	b70c61d19f7d3462	我能提供它。
a2-allow	0d96c72d54897fea	我能允许这样做。
a2-expect	23bef2d5d84b5412	我能预料到它。
