# schema=1
authoring_method	direct-llm-correction
b2-barrier	1f482bccf01811d6	语言障碍可能会造成问题。
b2-gang	0d570fe533a51da4	帮派可能很危险。
b2-classic	0852e040bed06283	这部小说已经成为现代经典。
b2-draft	8c2b369872f3794a	我完成了报告的第一稿。
b2-extraordinary	7fc4b14ddffcc4c0	这个团队取得了非凡的成果。
b2-fortune	5fb1f73a06649d76	他拥有一大笔财富。
b2-heaven	cf5a24b13cdab4cc	有些人相信天堂。
b2-pregnant	76f6eed3a83f552c	医生检查了这名孕妇。
b2-anxious	bbd079619fea33ac	我对结果感到焦虑。
b2-satellite	fa654d463c05326a	这颗卫星位于太空中。
b2-sweep	8a17ef871df2c657	她快速扫了一遍地板。
b2-stable	a5a5090c8a43b286	马在马厩里。
b2-satisfied	518301abbfa171e7	我们对结果感到满意。
b2-pitch	bc3abfade82354b4	这个声音的音调很高。
b2-bunch	ac5c15027d537300	她送给我一束花。
b2-distribute	4563dabb971147b0	志愿者将分发食物。
b2-measurement	3e8ac366fe2d2cdd	这个测量结果是正确的。
b2-enthusiasm	ceb728fe227a640c	学生们表现出极大的热情。
b2-resort	399cc78ea77f7e30	这个度假胜地在城市附近。
b2-bet	6d7c216cc9efc86f	这个赌注很稳妥。
b2-encounter	50781a187fa35bc8	这次相遇很短暂。
b2-minimum	953272d8aed4dd58	最低年龄是十八岁。
b2-blind	e6d40f5483a3d627	请拉下百叶窗。
b2-slave	4d1dd2e47e4ae007	这本书讲述了一名前奴隶的故事。
b2-accurate	6fcdd9e5e56c24f1	我们需要准确的信息。
b2-complicated	01133fa21013e9dc	这是一个复杂的问题。
b2-bullet	865a9ca8ae2c7ee5	警方发现了一颗子弹。
b2-proof	aa56885e88f811bb	你需要身份证明。
b2-solar	dcb3488d7d2bf7e7	这是太阳能。
b2-plain	3f076861d828deca	这条公路穿过一片广阔平原。
b2-tunnel	e4787b4d00ae0dec	火车驶入了一条长隧道。
b2-hunting	8bcca9cf04d08d67	法律禁止非法狩猎。
b2-satisfy	efd916e6e6234e89	这项计划应符合所有要求。
b2-raw	6a9737f7f0f1b06b	这块肉是生的。
b2-furthermore	cba815acbcd2154f	这个计划很简单，而且成本也低。
b2-bush	022ceb54774ad9ea	那只鸟藏在一片茂密的灌木中。
b2-deliberately	7483bc7da284edac	她故意不回答这个问题。
b2-adapt	43b77e8fb0e25a8e	人们必须适应变化。
b2-joy	ba844cbf65470470	她的孩子给她带来了快乐。
b2-shooting	17aa8c4f7ff28ddb	警方正在调查一起枪击事件。
b2-imagination	32030eb538970c23	发挥你的想象力把故事写完。
b2-crash	1545aa8e99a9e0eb	两人在这起车祸中受伤。
b2-outline	f257b9a9873a1dce	报告简要概述了这项计划。
b2-insight	42626e295a56bba5	这项研究为理解该问题提供了宝贵见解。
b2-weakness	71d3cf11ea170496	成本是这项计划的一大弱点。
b2-rid	cfd0d832e1aaa4a9	我们需要清除这些废物。
b2-shelter	5985182c7ee70a46	这栋建筑提供了安全的避难场所。
b2-steady	15b1f04da2d4550d	公司实现了稳定增长。
b2-desperate	755c459e81a32a5d	他们身处绝境。
b2-delighted	f9600da92301fdcb	我们对结果感到非常高兴。
b2-psychology	158912c8785d82b2	她计划学习心理学。
b2-commonly	e234e8b06d8e66b0	这个词很常用。
b2-convinced	5524e6fc0ee63a99	我确信这个计划会奏效。
b2-pile	f7aa5f26df1a0ba1	桌上放着一摞书。
b2-psychologist	735e9c92fb509288	她是一名心理学家。
b2-wealthy	d7b50eff3cb65c89	他是个富有的人。
b2-govern	02f8a4789ad1a94e	当选政党将治理这个国家。
b2-impress	bd3fa28fe61c1aee	这个设计能给人留下深刻印象。
b2-heel	deca1fcc576869c7	我跑步时伤到了脚后跟。
b2-privacy	f936dc91773f095a	法律保护个人隐私。
b2-contest	c83ad7aa5b959084	她赢得了一场写作比赛。
b2-sympathy	ef425f13654b08a6	我们应该对这个家庭表示同情。
b2-strict	f612d36a2f1c2d68	这所学校有严格的规定。
b2-collapse	32f4ef64c5076af5	这次倒塌来得很突然。
b2-outer	569238a2ff156318	先去掉外层。
b2-organ	bb6f8f506b031ad2	心脏是重要器官。
b2-flexible	5bbaed478ff56194	我们需要一个灵活的计划。
b2-disc	7401f0de1c2b6fc6	数据存储在这张光盘上。
b2-float	03a5d99d9c577d53	浮标漂在水面上。
b2-offensive	fa9df1f1fa8cc4d5	不要使用冒犯性语言。
b2-excuse	c35dbc1537354ef6	我可以原谅一个小错误。
b2-cancel	ff75f6882484391c	我们必须取消会议。
b2-harm	e97a06493a3e78e3	这种化学品可能造成严重伤害。
b2-wherever	0c813c9cec61a0f3	无论你去哪里，我都会支持你。
b2-mineral	006f82b82537050b	这块岩石含有一种有价值的矿物。
b2-swear	4efc87837065c72a	我发誓说实话。
b2-modify	80b7af5be38a4261	我们需要修改设计。
b2-lung	f8d16dbd257cdb90	吸烟可能导致肺部疾病。
b2-artistic	0952ee1d9af1bdf7	她很有艺术天赋。
b2-hesitate	8981621313ee9c3c	需要帮助时不要犹豫。
b2-courage	ce3f981ed91102bc	她表现出了极大的勇气。
b2-unexpected	08a897e3788fe1b4	这个结果出乎意料。
b2-decrease	91130f34d43cb1bd	成本有所下降。
b2-anniversary	b32abe4e7d76fa3a	他们庆祝了结婚纪念日。
b2-illustration	30c02602f3ab144e	这本书用插图说明了这个想法。
b2-interrupt	c78de2f5e9d9d7da	请不要打断发言者。
b2-delight	e5a696851e57a889	这个消息令人非常高兴。
b2-forgive	e98f1e83d8ba0e1b	我可以原谅这个错误。
b2-evil	574aa6f36dc15369	这个故事讲述善恶之间的斗争。
b2-beg	a6788fcb57a6e2a5	人们可能会乞求帮助。
b2-sponsor	f2965f2eb92dc461	这家公司是该活动的主要赞助者。
b2-ethical	1f411b35d7d6c0c9	我们必须作出符合伦理的决定。
b2-melt	59a0c2d009ca2881	今年春季融雪来得早。
b2-artificial	972d33cdc4af2a21	这盏灯是人造的。
b2-flash	d0cbec65d1368ca1	一道闪光照亮了房间。
b2-nightmare	bcef662eb10f6e4a	那个梦是一场噩梦。
b2-wildlife	1eddbf90052bc8b7	这个公园保护当地野生动植物。
b2-broadcast	6f69dc709c9791b9	这是现场直播。
