# schema=1
authoring_method	direct-llm-reviewed
b1-freeze	e536dd66ce0ad934	这可能会冻结。
b1-sensible	731b4de5b28a2eb7	这是明智的。
b1-bake	7aeb4a4a202d3b53	我会烘焙。
b1-ban	c273ebed57ee73d1	这是一项禁令。
b1-announcement	5970df29587de9a5	这是一则公告。
b1-unemployed	d21b142c4456a5d4	我失业了。
b1-episode	f3e5facfdf287d63	这是一集节目。
b1-highlight	1347dd05b872e336	这是一个亮点。
b1-pleasant	dd478c32f5c21c5a	这很愉快。
b1-pretend	e2358f17df3ae43c	我可以假装。
b1-grateful	4e0800453fbfa4f2	他心怀感激。
b1-aged	654928308b76e0c3	他是一位年长的人。
b1-excitement	3987a1f078839e32	我了解兴奋。
b1-departure	b6159dacb76613d6	这是出发时间。
b1-continuous	9582b1be7e61331f	这是连续的。
b1-horror	3b3fdb79d02cc2a2	这是一件恐怖的事。
b1-coin	e19353c47bf2a69d	这是一枚硬币。
b1-plot	5190125d1823a3af	这是一小块土地。
b1-celebration	022a9eca9c298d42	这是一场庆祝活动。
b1-alarm	109d0cd5fd0beb33	这是一则警报。
b1-consume	8fd10d1e53a2562e	我可以消耗它。
b1-explosion	597852b380407881	这是一次爆炸。
b1-injure	0d4b9670989dd08d	我可能会伤害别人。
b1-educate	0823ea3639f1a153	我可以教育他。
b1-painful	44f92dfa34b9d857	这很痛苦。
b1-friendship	7a8f5b6334753a98	这是一段友谊。
b1-reservation	ee46b6dd8bf644a4	这是一项预订。
b1-mall	399dc4fe20e84d40	这是一家购物中心。
b1-hurry	c2f4fb4aa6c81d9e	我很匆忙。
b1-tent	18a9fb17a599e771	这是一顶帐篷。
b1-narrative	141d833fb5ca3608	这是一段叙述。
b1-photographer	cebdc5b1447ff2bf	这是一位摄影师。
b1-helicopter	770a8344f345f851	这是一架直升机。
b1-explode	4b027d8b6f461b83	我可能会爆炸。
b1-garage	de207813329a55ed	这是一间车库。
b1-assignment	23e77481ecd667e3	这是一项作业。
b1-romantic	012bf709d1784923	这很浪漫。
b1-discount	c1b24c3b7ceaba2b	这是一个折扣。
b1-generous	283727e0f19348f8	这很慷慨。
b1-ambition	8013a4b010d762e7	这是一种抱负。
b1-battery	b300e86b057a9d5d	这是一块电池。
b1-fighting	70ef299a86fa20db	我看见有人在打斗。
b1-competitor	9df9a05c91528320	这是一名竞争者。
b1-ugly	8b4f2431d17c818b	它很丑。
b1-ghost	6c7e6abb4887b247	这是一只鬼。
b1-reliable	a57ee53e2b580480	这是可靠的。
b1-admire	573fcd04e2fe6de4	我可以赞赏他。
b1-killing	ad594acb3d17919e	这是一起杀人事件。
b1-script	acaa0584f151f283	这是一份脚本。
b1-headline	1492d08293744316	这是一个大标题。
b1-rope	e738f67272947f8a	这是一根绳子。
b1-shine	ae4c8e648eee5e1f	这是一道光泽。
b1-clue	4edd67bde0bafab9	这是一条线索。
b1-slice	2b1a521c14da1430	这是一片切片。
b1-fitness	90dbb2e5eff3f096	这是一种健康状态。
b1-container	38d479539623aa1f	这是一个容器。
b1-experienced	a8ed256806f9028c	我很有经验。
b1-disappointed	d3af0531cc0a07b0	我很失望。
b1-mess	224b501c4e849f42	这里一团糟。
b1-upset	2e4fb916cdb769e9	我很难过。
b1-frightened	bf13448644b5b21e	我很害怕。
b1-expected	c1c557822c518662	这是预料之中的。
b1-magic	af303b7191923f1d	这是关于魔法的。
b1-hunt	b3bba2dbf349ee55	这是一次狩猎。
b1-sculpture	7ae312f97d2b0587	这是一件雕塑作品。
b1-flour	67b2334df18885bc	我有一些面粉。
b1-convenient	ad9f91785e75905d	这很方便。
b1-heating	87b35301ef4da9ee	这是关于供暖的。
b1-confuse	be01020ec44187a3	这可能会让我困惑。
b1-disadvantage	892458e77659e691	这是一个缺点。
b1-mud	73ad1fec8ab0ce65	这是泥。
b1-flood	689d4684bd8a63ea	这是一场洪水。
b1-prediction	ea62b6bc382cf8fd	这是一个预测。
b1-outdoor	4647b61500acd2be	这是一项户外游戏。
b1-confused	b87d8a7810d09771	我很困惑。
b1-coloured	d54443e9a0d5f619	它是有颜色的。
b1-unfair	a774767d465f8335	这是不公平的。
b1-unnecessary	b1019fbdb69176ec	这是不必要的。
b1-uncomfortable	5d5a7ce286346825	这让人不舒服。
b1-peaceful	4473964a246b7681	这里很平静。
b1-retired	196e4853a2f1be2b	我已经退休了。
b1-drunk	d994c7ca19e7aee2	他喝醉了。
b1-apologize	a85d50f7289a73ea	我可以道歉。
b1-horrible	71ade62e9ab5b631	这太可怕了。
b1-mild	1421e0660b85d9ec	它很温和。
b1-frozen	2cba834038e89be4	它冻住了。
b1-click	0aa47dbb531d7cf6	这是“咔哒”的一声。
b1-brave	54c03f8d4b280a6c	这很勇敢。
b1-backwards	bbc3b97382b5aa62	我向后走。
b1-lonely	a124e4b5b617f60d	我很孤单。
b1-diagram	eaaed4126f506ca5	这是一张图解。
b1-fancy	88f13fa11109d0a9	这是一种幻想。
b1-punish	b82e9af23eacc9b3	我可以惩罚他。
b1-happiness	c01132d69895f9bb	我了解幸福。
b1-statue	e22fd110c0ea595e	这是一座雕像。
b1-destination	4c06477114285b6e	这是一个目的地。
b1-update	b8191425b38e5457	我可以更新它。
b1-fascinating	8411846e816bf453	这非常迷人。
