# schema=1
authoring_method	direct-llm-reviewed
word-i	a6594241a49837f6	我在这里。
word-am	a6594241a49837f6	我在这里。
word-here	a6594241a49837f6	我在这里。
word-you	9951a2c09b745a2e	你在那里。
word-are	9951a2c09b745a2e	你在那里。
word-there	9951a2c09b745a2e	你在那里。
w-this	b15c9a9fd56f0185	这是一本书。
w-is	1d615434e9b0cc53	它是红色的。
w-a	b15c9a9fd56f0185	这是一本书。
w-book	a9024cdbd39c06b5	这本书是红色的。
w-it	1d615434e9b0cc53	它是红色的。
w-red	a9024cdbd39c06b5	这本书是红色的。
w-big	ab4c6b9b010382af	这是一本大书。
w-small	30737dbb23b50d3e	这是一本小书。
w-and	d11f19ff41d369e1	它有红色和黑色两种颜色。
w-not	3e901cf6f87f45fc	它不是红色的。
w-black	e833a1ff34ad0f61	这本书是黑色的。
w-white	6bf59f7817c5953b	这本书是白色的。
w-he	fc5207aacf032c58	他有一个。
w-she	22e3698364c8f907	她有两个。
w-has	fc5207aacf032c58	他有一个。
w-one	853887b2f759bd5b	他有一本书。
w-two	22e3698364c8f907	她有两个。
w-three	7192b895bdd3f780	他有三个。
w-we	f95292d1ca662967	我们可以走了。
w-they	357c149bb19ce87f	他们可以来。
w-can	f95292d1ca662967	我们可以走了。
w-go	0de6623a831617d9	我们现在走。
w-come	45f6e98eb10a7f11	他们现在来。
w-now	4705f9e23122939f	我们现在可以走了。
w-do	f86d4a54f6da97df	你喜欢食物吗？
w-like	ef97cfa42ac89b8d	我喜欢食物。
w-food	103e75a453648495	你喜欢食物。
w-yes	dde61b29861bac96	是的，我喜欢。
w-no	4c1f359e2723f507	不，我不喜欢。
w-why	cc3f738eaa0a74d9	为什么不呢？
w-man	d41525e5a7781271	他是一名男子。
w-woman	7c4b71fa22ce49f0	她是一名女子。
w-boy	470c9ffd4b241453	他是一个男孩。
w-girl	17906b152f02f670	她是一个女孩。
w-person	8e8123e39551295e	男人也是人。
w-people	f81a6e692a6722ee	他们都是人。
w-see	96f4b9c838770da1	我看见他了。
w-look	301f34f65550ee3b	看着我。
w-at	47f5f3bcb20ba8b1	看着他。
w-me	301f34f65550ee3b	看着我。
w-him	96f4b9c838770da1	我看见他了。
w-her	f9fc5d1590a8280e	你看见她了。
w-books	00a15bece0e5e30d	我看见一些书。
w-doors	c92b83e45dca6700	我看见几扇门。
w-rooms	a6860c90dcfb03ff	我看见几个房间。
w-days	95b557e4350a2f8c	我看见好几天。
w-nights	5d102acdc888fec8	我看见了许多个夜晚。
w-boxes	cdcaa78eba033ab4	我看见几个盒子。
w-the	51cba0fcbbf15035	就是这本书。
w-an	70c87beb16a605dc	这个词是“an”。
w-have	4c5a28020542925c	我有一本书。
w-these	677d29bcbf9d960a	这些是书。
w-those	08437feee010700c	那些是书。
w-word	ee142e93c6b68d86	这是一个单词。
w-in	766fddb16a984c46	一本书放在盒子里。
w-on	37d8e65d3d34654f	一本书放在桌子上。
w-under	fb076b2952a5bd24	一本书放在桌子下面。
w-box	196b05ed89495d79	这是一个盒子。
w-table	f60dddc047d40542	这是一张桌子。
w-near	1fd8754df0274b74	这个盒子靠近这张桌子。
w-door	f51d2d23261606bb	这扇门开着。
w-room	ae9054f7b8c540f1	我在这个房间里面。
w-open	f51d2d23261606bb	这扇门开着。
w-closed	f547cde8d9654a93	这扇门关着。
w-inside	ae9054f7b8c540f1	我在这个房间里面。
w-outside	70f77035b52d9094	你在这个房间外面。
w-day	2e8dc5bc8e08ef90	这是一天。
w-night	68d032f4f5073360	现在是夜晚。
w-morning	eaeb7efc0966021a	现在是早晨。
w-afternoon	eefeef96898d42a6	现在是下午。
w-evening	1c996dcb808fa12e	现在是傍晚。
w-time	5a88fe261233a773	早晨是一天中的一个时段。
w-about	0737b2f428005060	这是关于一本书的内容。
w-know	0104ec3224b0e88d	我知道这件事。
w-use	9a62903b2aa45c1b	我会使用这个。
w-make	75a342b0a88a26ee	我会制作这个。
w-good	6de09c79b63404a2	这很好。
w-thing	46a0c7d6c38c65aa	这是一个东西。
w-was	46049f5701dba321	我当时在这里。
w-more	b47a2e2bf733cb8f	这里不止一个。
w-than	b019eee0d7110a37	二比一大。
w-ago	b664c997fbb9f888	我一天前来过这里。
w-recently	86c1d66a3ce0b39f	我最近来过这里。
w-previously	0e16a591d1c66cf5	我以前来过这里。
