# schema=1
authoring_method	direct-llm-reviewed
ogden-able	8fdf30bed01899e0	我有能力做到。
ogden-ant	50193b9f532ae237	这是一只蚂蚁。
ogden-arch	652f3c60d75a5c4c	这是一座拱门。
ogden-colour	daa56f561db31a12	这是一种颜色。
ogden-form	4406fce0ff537344	这是一张表格。
ogden-head	01f47d53e796ac48	这是头部。
ogden-humour	0047e5323ad28fe4	我了解幽默。
ogden-meal	ab22f41c0b9fcf2b	这是一顿饭。
ogden-be	892e008a0b18373f	我可以待在这里。
ogden-of	bd0751d1ff8cca8c	这是两个中的一个。
ogden-to	98bbefbb4f0660f2	我走向你。
ogden-for	c708e15c2a2d8daf	这是给你的。
ogden-that	66e8d2989006d21a	那是一本书。
ogden-with	5592935ffa39b059	我和你在一起。
ogden-say	641f78b8fcb88db3	我可以说出这件事。
ogden-by	577b8d469c6a57ef	这本书是我写的。
ogden-but	9a423c26842ac2c4	我走，但你不走。
ogden-from	87f0aad72032dba4	我从这里来。
ogden-or	3bbb3b22d91553be	你还是我？
ogden-will	b553a3c959965640	我会走。
ogden-as	197d88280af94ec5	你照我做的去做。
ogden-who	1dd1350df0c195ca	谁在这里？
ogden-all	b9ccb08bfcb89f65	所有人都在这里。
ogden-get	9a02a7bb18cde158	我能得到它。
ogden-if	fcab3b1b12e193c0	如果你来，我就走。
ogden-so	76851f9a558dbfea	它非常大。
ogden-up	b4cec0563ba36157	我向上走。
ogden-take	67455a080dbef37d	我能拿走它。
ogden-some	c62f0c21eb4fb534	我有一些食物。
ogden-when	84e0e13f682fa90c	你什么时候来？
ogden-year	29013b2ed2eef1e1	这是一年。
ogden-then	b1f29beb05921886	我先走，然后你再走。
ogden-out	083408168d4ee736	我可以出去。
ogden-other	9acd638da11ef22b	这是另一本书。
ogden-only	75c52b3c69b4ea2e	我只有一个。
ogden-give	44fa4ba599e71be7	我可以把这个给他。
ogden-how	cb24ac5259311d0c	我该怎么做？
ogden-any	3e383daae592e1ec	你有食物吗？
