# schema=1
authoring_method	direct-llm-correction
a2-ability	bfbad7c5660a1723	她有能力做到这件事。
a2-based	2d8d670c87f9c2fc	这部电影改编自一本书。
a2-bin	86d1577e34857f62	把它放进垃圾桶里。
a2-media	812eaed726e8de85	媒体报道了这件事。
a2-penny	d639e92781f05030	这是一枚便士硬币。
a2-specific	db6ef29d90814f6d	我需要一个明确的答案。
a2-stair	a5a0f15a820fba16	这级台阶很高。
a2-provide	0f3282a52a42415c	我们可以提供食物。
a2-hold	466432972a97f1d9	我可以拿着这本书。
a2-although	cb1edaf20986aa51	虽然时间很晚，我还是可以去。
a2-social	a6fe1817046e1113	这是一场社交活动。
a2-national	ae790679c72faaa9	这是一项国家计划。
a2-perhaps	1389b7192ea3862e	它也许是一样的。
a2-allow	be47ec9da217db01	他们允许我去。
a2-yet	e6228d6c23088b7f	我还没到那里。
a2-appear	f361dc26f7a17fae	这里可能会出现一条消息。
a2-continue	76ec4a7423146c0a	我们可以继续这项工作。
a2-president	18e6655d66cc2a39	他是总统。
a2-consider	e3d7735efbc60e11	我可以考虑这个计划。
a2-kid	2086d87710939f90	这个孩子在这里。
a2-expect	027e7b8e99c82579	我期待好消息。
a2-suggest	fa4a3118bcedc4be	我建议短暂休息一下。
a2-figure	7dcb0a1f71e96b9d	这个数字太高了。
a2-available	d1e8d0e05b529073	这个房间可以使用。
a2-actually	a7dc202ae7d1a2a9	其实我喜欢它。
a2-research	dde7627340f2eb56	这项研究很重要。
a2-guy	2f34ff9ca01ea30d	他是个很好的人。
a2-matter	7421d3367e429426	这件事很重要。
a2-receive	ef657686fcc2c47f	我可以收到这条消息。
a2-less	829e5e17b6ce3a94	我需要更少的时间。
a2-patient	c69ef610b5102d41	她是一名病人。
a2-major	79ef0987cc4d6d94	这是一个重大问题。
a2-including	85d23d9bd93430ef	所有人都在这里，包括他。
a2-itself	06076cb4c9babe14	这只动物会自己清洁身体。
a2-human	6503c7cd982ffcc4	人的生命很重要。
a2-develop	26545b597ebc114f	这个想法可以逐渐发展。
a2-serve	16fc058bfb862be8	这里提供餐食。
a2-likely	6bbc25f745be2ef8	今天很可能下雨。
a2-kill	391665efac86fd96	战争会夺去人的生命。
a2-raise	53db736b2f9cda8d	我加薪了。
a2-international	00f60cd7c79f6708	这是一场国际活动。
a2-pass	736f1d8c64466844	我有一张通行证。
a2-along	e5559c621731a014	我们沿着这条路走。
a2-role	7291d51b397d897c	她担任着重要角色。
a2-ground	892f89a280d6e0cc	书在地上。
a2-evidence	618cb1452c0456f9	我们需要更多证据。
a2-rather	f8e552fbdf40a1a2	它相当大。
a2-leader	6006c4d2a06cdf71	她是领导者。
a2-finally	75712f984ffffe1d	我们终于到了。
a2-according	ad65666f230aba1c	根据这份报告，这是真的。
a2-relationship	632a962e3781c3e9	他们关系很好。
a2-god	5845f4e0312798ae	人们相信神的存在。
a2-season	792a8cf79904f6d2	冬天是寒冷的季节。
a2-director	a65b34658be54396	她是主管。
a2-training	16771ce1c6b0a138	培训今天开始。
a2-pick	0af3cb8e06ebabf7	你可以选一个。
a2-apply	777b85be95690d45	我可以申请这份工作。
a2-couple	9966ff50d48eb6dc	他们是一对伴侣。
a2-hit	bf1aa81d76cd6c93	不要太用力击球。
a2-certainly	b36517650dbee64e	它肯定是一样的。
